user_id,signup_date,plan_type,monthly_price,city,churn_date
1,2024-01-01,Monthly,299,,2025-12-01
2,2024-01-01,Annual,2499,Jaipur,2024-02-01
3,2024-01-01,Monthly,299,Kolkata,2024-06-01
4,2024-01-01,Monthly,299,Hyderabad,2024-09-01
5,2024-01-01,Monthly,299,Delhi,2024-07-01
6,2024-01-01,Monthly,299,Mumbai,2025-04-01
7,2024-01-01,Annual,2499,Bengaluru,2024-11-01
8,2024-01-01,Annual,2499,Jaipur,
9,2024-01-01,Annual,2499,Patna,
10,2024-01-01,Monthly,299,Bengaluru,2024-08-01
11,2024-01-01,Monthly,299,Pune,2024-04-01
12,2024-01-01,Monthly,299,Kolkata,2024-02-01
13,2024-01-01,Monthly,299,Bengaluru,2024-03-01
14,2024-01-01,Monthly,299,Mumbai,2026-07-01
15,2024-01-01,Monthly,299,Kolkata,2024-02-01
16,2024-01-01,Annual,2499,Delhi,2024-06-01
17,2024-01-01,Monthly,299,Jaipur,
18,2024-01-01,Annual,2499,Jaipur,2026-05-01
19,2024-01-01,Monthly,299,Mumbai,
20,2024-01-01,Annual,2499,Hyderabad,
21,2024-01-01,Annual,2499,Bengaluru,
22,2024-01-01,Monthly,299,Chennai,2024-08-01
23,2024-01-01,Monthly,299,Mumbai,2024-02-01
24,2024-01-01,Monthly,299,Mumbai,
25,2024-01-01,Annual,2499,Delhi,
26,2024-01-01,Annual,2499,Hyderabad,
27,2024-01-01,Annual,2499,Hyderabad,
28,2024-01-01,Monthly,299,Jaipur,2024-02-01
29,2024-01-01,Monthly,299,Patna,2024-04-01
30,2024-01-01,Monthly,299,Chennai,2024-02-01
31,2024-01-01,Monthly,299,Hyderabad,2025-01-01
32,2024-01-01,Annual,2499,Bengaluru,
33,2024-01-01,Monthly,299,Patna,2024-02-01
34,2024-01-01,Monthly,299,Kolkata,2024-06-01
35,2024-01-01,Monthly,299,Delhi,2024-03-01
36,2024-01-01,Monthly,299,Delhi,2026-08-01
37,2024-01-01,Monthly,299,Mumbai,
38,2024-01-01,Monthly,299,Delhi,2024-10-01
39,2024-01-01,Monthly,299,Jaipur,2024-02-01
40,2024-01-01,Monthly,299,Pune,
41,2024-01-01,Annual,2499,Hyderabad,
42,2024-01-01,Monthly,299,Jaipur,2026-02-01
43,2024-01-01,Monthly,299,Delhi,2024-07-01
44,2024-01-01,Monthly,299,Mumbai,
45,2024-01-01,Monthly,299,Patna,2025-06-01
46,2024-01-01,Monthly,299,Bengaluru,2024-02-01
47,2024-01-01,Annual,2499,Bengaluru,
48,2024-01-01,Monthly,299,Delhi,2024-03-01
